"date","locality","state","location_detail","online","type","title","macroevent","actors","organizations","participants","claims","valence","issues","size_text","size_low","size_high","size_mean","size_cat","arrests","arrests_any","injuries_crowd","injuries_crowd_any","injuries_police","injuries_police_any","property_damage","property_damage_any","chemical_agents","participant_measures","police_measures","participant_deaths","police_deaths","source_1","source_2","source_3","source_4","source_5","source_6","source_7","source_8","source_9","source_10","source_11","source_12","source_13","source_14","source_15","source_16","source_17","source_18","source_19","source_20","source_21","source_22","source_23","source_24","source_25","source_26","source_27","source_28","source_29","source_30","notes","lat","lon","resolved_locality","resolved_county","resolved_state","fips_code"
2019-09-18,"Washington","DC","Supreme Court",0,"protest",NA,NA,"general protesters",NA,NA,"Environment; Against climate change",0,"environment",NA,NA,NA,NA,0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,NA,NA,NA,NA,NA,"https://www.floridatoday.com/story/news/2019/09/19/young-climate-activist-satellite-beach-appears-washington-alongside-greta-thunberg/2366801001/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38.907192","-77.036871","Washington","District of Columbia","DC","11001"
2019-09-19,"Idaho Falls","ID","Band shell on Memorial Drive",0,"demonstration",NA,"20190920-climatestrike",NA,NA,NA,"for urgent action on climate change, for climate justice and equity",1,"environment",NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,"March On, wearemarchon.org",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"790 Memorial Drive","43.492661","-112.040758","Idaho Falls","Bonneville County","ID","16019"
2019-09-19,"Idaho Falls","ID","Band shell on Memorial Drive",0,"demonstration",NA,"20190920-climatestrike",NA,NA,NA,"for urgent action on climate change, for climate justice and equity",1,"environment",NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,"March On, wearemarchon.org",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"790 Memorial Drive","43.492661","-112.040758","Idaho Falls","Bonneville County","ID","16019"
2019-09-19,"Elmhurst","IL","Elmhurst Presbyterian Church",0,"demonstration",NA,"20190920-climatestrike",NA,NA,NA,"for urgent action on climate change, for climate justice and equity",1,"environment",NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,"March On, wearemarchon.org",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"367 Spring Rd","41.899474","-87.940342","Elmhurst","DuPage County","IL","17043"
2019-09-19,"Elmhurst","IL","Elmhurst Presbyterian Church",0,"demonstration",NA,"20190920-climatestrike",NA,NA,NA,"for urgent action on climate change, for climate justice and equity",1,"environment",NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,"March On, wearemarchon.org",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"367 Spring Rd","41.899474","-87.940342","Elmhurst","DuPage County","IL","17043"
2019-09-19,"Morris","MN","Green River Park",0,"demonstration",NA,"20190920-climatestrike",NA,NA,NA,"for urgent action on climate change, for climate justice and equity",1,"environment",NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,"March On, wearemarchon.org",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Green River Park","45.591944","-95.918889","Morris","Stevens County","MN","27149"
2019-09-19,"Morris","MN","Green River Park",0,"demonstration",NA,"20190920-climatestrike",NA,NA,NA,"for urgent action on climate change, for climate justice and equity",1,"environment",NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,"March On, wearemarchon.org",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Green River Park","45.591944","-95.918889","Morris","Stevens County","MN","27149"
2019-09-19,"Okmulgee","OK","Okmulgee In front of townhall",0,"demonstration",NA,"20190920-climatestrike",NA,NA,NA,"for urgent action on climate change, for climate justice and equity",1,"environment",NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,"https://www.fridaysforfuture.org/events/list",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35.626696","-95.95154","Okmulgee","Okmulgee County","OK","40111"
2019-09-19,"Okmulgee","OK","Okmulgee In front of townhall",0,"demonstration",NA,"20190920-climatestrike",NA,NA,NA,"for urgent action on climate change, for climate justice and equity",1,"environment",NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,"https://www.fridaysforfuture.org/events/list",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35.626696","-95.95154","Okmulgee","Okmulgee County","OK","40111"
2019-09-19,"El Paso","TX","Saul Kleinfeld Park",0,"demonstration",NA,"20190920-climatestrike",NA,NA,NA,"for urgent action on climate change, for climate justice and equity",1,"environment",NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,"March On, wearemarchon.org",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saul Kleinfeld Dr","31.761878","-106.485022","El Paso","El Paso County","TX","48141"
2019-09-19,"El Paso","TX","Saul Kleinfeld Park",0,"demonstration",NA,"20190920-climatestrike",NA,NA,NA,"for urgent action on climate change, for climate justice and equity",1,"environment",NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,"March On, wearemarchon.org",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saul Kleinfeld Dr","31.761878","-106.485022","El Paso","El Paso County","TX","48141"
2019-09-19,"Huntington","WV","Cabell County Court House",0,"demonstration",NA,"20190920-climatestrike",NA,NA,NA,"for urgent action on climate change, for climate justice and equity",1,"environment",NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,"March On, wearemarchon.org",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"750 5th Ave","38.41925","-82.445154","Huntington","Cabell County","WV","54011"
2019-09-19,"Huntington","WV","Cabell County Court House",0,"demonstration",NA,"20190920-climatestrike",NA,NA,NA,"for urgent action on climate change, for climate justice and equity",1,"environment",NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,"March On, wearemarchon.org",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"750 5th Ave","38.41925","-82.445154","Huntington","Cabell County","WV","54011"
2019-09-20,"Anchorage","AK","in front of town hall",0,"demonstration",NA,"20190920-climatestrike",NA,NA,NA,"for urgent action on climate change, for climate justice and equity",1,"environment",NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,"https://www.fridaysforfuture.org/events/list",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61.218056","-149.900278","Anchorage","Anchorage","AK","02020"
2019-09-20,"Anchorage","AK","in front of town hall",0,"demonstration",NA,"20190920-climatestrike",NA,NA,NA,"for urgent action on climate change, for climate justice and equity",1,"environment",NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,"https://www.fridaysforfuture.org/events/list",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61.218056","-149.900278","Anchorage","Anchorage","AK","02020"
2019-09-20,"Anchorage","AK","Cuddy Family Midtown Park",0,"demonstration",NA,"20190920-climatestrike",NA,NA,NA,"for urgent action on climate change, for climate justice and equity",1,"environment","about 300",300,300,300,2,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,"March On, wearemarchon.org","https://www.ktoo.org/2019/09/23/these-anchorage-students-skipped-school-to-attend-a-climate-protest-heres-why-in-their-own-words/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"201 E 40th Avenue","61.218056","-149.900278","Anchorage","Anchorage","AK","02020"
2019-09-20,"Anchorage","AK","Cuddy Family Midtown Park",0,"demonstration",NA,"20190920-climatestrike",NA,NA,NA,"for urgent action on climate change, for climate justice and equity",1,"environment","about 300",300,300,300,2,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,"March On, wearemarchon.org","https://www.ktoo.org/2019/09/23/these-anchorage-students-skipped-school-to-attend-a-climate-protest-heres-why-in-their-own-words/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"201 E 40th Avenue","61.218056","-149.900278","Anchorage","Anchorage","AK","02020"
